loopCnt,thighDeg_RH,incPosDeg_RH,MotorRefCurrent_RH,MotorActCurrent_RH,FvectorRefCurrent_RH,accX_Global_RH,accY_Global_RH,gyroZ_Global_RH,thighDeg_LH,incPosDeg_LH,MotorRefCurrent_LH,MotorActCurrent_LH,FvectorRefCurrent_LH,accX_Global_LH,accY_Global_LH,gyroZ_Global_LH,u_RH,u_LH,EMG_Raw,EMG_Processed,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode
253,-26.928,-15.568,0.000,-0.005,0.000,-0.001,9.683,0.015,-24.555,-11.459,0.000,0.000,0.000,0.051,10.105,-0.076,0.000,0.000,-0.064,0.000,0.000,0.000,0
254,-26.928,-15.568,0.000,0.000,0.000,0.018,9.645,0.000,-24.555,-11.459,0.000,-0.005,0.000,0.028,10.067,-0.046,0.000,0.000,-0.063,0.000,0.000,0.000,0
255,-26.928,-15.568,0.000,0.000,0.000,0.011,9.705,0.076,-24.555,-11.459,0.000,0.016,0.000,-0.030,10.088,-0.046,0.000,0.000,-0.064,0.000,0.000,0.000,0
256,-26.928,-15.568,0.000,0.005,0.000,0.025,9.710,0.015,-24.555,-11.459,0.000,0.005,0.000,-0.011,10.110,-0.076,0.000,0.000,-0.063,0.000,0.000,0.000,0
257,-26.950,-15.568,0.000,0.000,0.000,0.047,9.638,0.000,-24.555,-11.459,0.000,0.000,0.000,0.001,10.112,-0.015,0.000,0.000,-0.064,0.000,0.000,0.000,0
258,-26.950,-15.568,0.000,0.016,0.000,-0.013,9.660,-0.107,-24.555,-11.459,0.000,0.000,0.000,-0.004,10.122,-0.015,0.000,0.000,-0.064,0.000,0.000,0.000,0
259,-26.950,-15.568,0.000,-0.016,0.000,-0.023,9.707,-0.107,-24.555,-11.459,0.000,-0.016,0.000,0.075,10.131,-0.046,0.000,0.000,-0.065,0.000,0.000,0.000,0
260,-26.950,-15.568,0.000,0.016,0.000,0.073,9.664,0.000,-24.577,-11.459,0.000,-0.005,0.000,-0.001,10.112,-0.015,0.000,0.000,-0.065,0.000,0.000,0.000,0
261,-26.950,-15.568,0.000,0.000,0.000,0.040,9.652,0.015,-24.555,-11.459,0.000,0.000,0.000,-0.075,10.143,-0.015,0.000,0.000,-0.064,0.000,0.000,0.000,0
262,-26.950,-15.568,0.000,0.005,0.000,-0.059,9.722,-0.076,-24.555,-11.459,0.000,0.005,0.000,-0.004,10.138,-0.015,0.000,0.000,-0.065,0.000,0.000,0.000,0
263,-26.950,-15.568,0.000,0.000,0.000,0.004,9.655,-0.046,-24.555,-11.459,0.000,0.016,0.000,0.032,10.129,-0.076,0.000,0.000,-0.067,0.000,0.000,0.000,0
264,-26.950,-15.568,0.000,-0.027,0.000,0.066,9.614,0.000,-24.577,-11.459,0.000,-0.005,0.000,0.044,10.148,-0.137,0.000,0.000,-0.068,0.000,0.000,0.000,0
265,-26.950,-15.568,0.000,0.000,0.000,0.059,9.662,0.000,-24.577,-11.459,0.000,0.005,0.000,0.090,10.093,-0.015,0.000,0.000,-0.067,0.000,0.000,0.000,0
266,-26.972,-15.568,0.000,-0.005,0.000,0.035,9.660,0.015,-24.577,-11.459,0.000,0.016,0.000,-0.018,10.059,0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
267,-26.972,-15.568,0.000,0.005,0.000,0.018,9.619,0.168,-24.577,-11.459,0.000,-0.005,0.000,-0.085,10.086,-0.107,0.000,0.000,-0.066,0.000,0.000,0.000,0
268,-26.972,-15.568,0.000,0.005,0.000,0.023,9.657,0.000,-24.577,-11.459,0.000,0.005,0.000,0.047,10.134,-0.137,0.000,0.000,-0.065,0.000,0.000,0.000,0
269,-26.972,-15.568,0.000,0.027,0.000,0.025,9.715,-0.137,-24.577,-11.459,0.000,-0.005,0.000,0.008,10.119,0.000,0.000,0.000,-0.065,0.000,0.000,0.000,0
270,-26.972,-15.568,0.000,0.016,0.000,0.061,9.676,-0.107,-24.577,-11.459,0.000,-0.016,0.000,-0.044,10.095,0.015,0.000,0.000,-0.066,0.000,0.000,0.000,0
271,-26.994,-15.568,0.000,-0.005,0.000,0.083,9.624,-0.046,-24.577,-11.459,0.000,0.005,0.000,0.040,10.119,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
272,-26.994,-15.568,0.000,-0.005,0.000,0.066,9.619,0.168,-24.577,-11.459,0.000,-0.005,0.000,0.013,10.098,0.000,0.000,0.000,-0.069,0.000,0.000,0.000,0
273,-26.994,-15.568,0.000,0.005,0.000,0.047,9.621,0.168,-24.577,-11.459,0.000,-0.005,0.000,-0.080,10.095,0.000,0.000,0.000,-0.069,0.000,0.000,0.000,0
274,-27.016,-15.568,0.000,0.005,0.000,0.090,9.633,0.046,-24.555,-11.459,0.000,0.000,0.000,-0.109,10.088,0.000,0.000,0.000,-0.066,0.000,0.000,0.000,0
275,-27.016,-15.568,0.000,0.000,0.000,0.078,9.652,0.000,-24.555,-11.459,0.000,0.005,0.000,-0.020,10.064,0.000,0.000,0.000,-0.064,0.000,0.000,0.000,0
276,-27.016,-15.568,0.000,0.000,0.000,-0.011,9.643,0.198,-24.555,-11.459,0.000,0.000,0.000,0.023,10.071,0.000,0.000,0.000,-0.064,0.000,0.000,0.000,0
277,-27.016,-15.568,0.000,0.000,0.000,-0.020,9.667,0.137,-24.555,-11.459,0.000,-0.016,0.000,0.018,10.091,0.015,0.000,0.000,-0.066,0.000,0.000,0.000,0
278,-27.016,-15.568,0.000,0.016,0.000,0.054,9.660,0.076,-24.555,-11.459,0.000,0.000,0.000,-0.028,10.155,0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
279,-27.038,-15.568,0.000,-0.027,0.000,0.068,9.621,0.000,-24.555,-11.459,0.000,0.000,0.000,-0.097,10.160,0.107,0.000,0.000,-0.066,0.000,0.000,0.000,0
280,-27.038,-15.568,0.000,0.016,0.000,0.006,9.657,-0.015,-24.533,-11.459,0.000,0.005,0.000,-0.059,10.117,0.076,0.000,0.000,-0.066,0.000,0.000,0.000,0
281,-27.038,-15.568,0.000,0.000,0.000,0.037,9.672,0.000,-24.533,-11.459,0.000,-0.005,0.000,0.040,10.059,0.000,0.000,0.000,-0.065,0.000,0.000,0.000,0
282,-27.038,-15.568,0.000,-0.005,0.000,0.080,9.633,0.000,-24.533,-11.459,0.000,-0.005,0.000,0.006,10.002,0.000,0.000,0.000,-0.066,0.000,0.000,0.000,0
283,-27.060,-15.568,0.000,0.005,0.000,0.056,9.595,0.107,-24.533,-11.459,0.000,0.005,0.000,-0.128,10.062,0.168,0.000,0.000,-0.066,0.000,0.000,0.000,0
284,-27.060,-15.568,0.000,0.005,0.000,0.006,9.652,0.137,-24.533,-11.459,0.000,0.000,0.000,-0.042,10.122,0.015,0.000,0.000,-0.066,0.000,0.000,0.000,0
285,-27.060,-15.568,0.000,0.005,0.000,-0.011,9.691,0.015,-24.533,-11.459,0.000,0.005,0.000,0.030,10.134,0.000,0.000,0.000,-0.066,0.000,0.000,0.000,0
286,-27.060,-15.568,0.000,-0.005,0.000,-0.040,9.679,0.000,-24.533,-11.459,0.000,0.000,0.000,-0.047,10.114,0.137,0.000,0.000,-0.065,0.000,0.000,0.000,0
287,-27.060,-15.568,0.000,0.000,0.000,0.004,9.633,0.046,-24.511,-11.459,0.000,-0.005,0.000,-0.042,10.052,0.137,0.000,0.000,-0.066,0.000,0.000,0.000,0
288,-27.060,-15.568,0.000,0.000,0.000,0.075,9.616,0.229,-24.511,-11.459,0.000,0.000,0.000,0.016,10.035,-0.015,0.000,0.000,-0.066,0.000,0.000,0.000,0
289,-27.060,-15.568,0.000,0.000,0.000,0.028,9.707,0.229,-24.511,-11.459,0.000,0.000,0.000,-0.025,10.100,-0.046,0.000,0.000,-0.067,0.000,0.000,0.000,0
290,-27.060,-15.568,0.000,0.005,0.000,0.013,9.695,0.168,-24.511,-11.459,0.000,0.000,0.000,-0.080,10.126,0.015,0.000,0.000,-0.066,0.000,0.000,0.000,0
291,-27.060,-15.568,0.000,0.000,0.000,0.061,9.595,0.137,-24.511,-11.459,0.000,-0.005,0.000,-0.018,10.064,0.198,0.000,0.000,-0.067,0.000,0.000,0.000,0
292,-27.082,-15.568,0.000,-0.016,0.000,0.049,9.631,0.137,-24.511,-11.459,0.000,-0.005,0.000,0.035,10.136,0.107,0.000,0.000,-0.067,0.000,0.000,0.000,0
293,-27.082,-15.568,0.000,-0.005,0.000,-0.011,9.712,0.168,-24.511,-11.459,0.000,-0.005,0.000,-0.071,10.122,0.076,0.000,0.000,-0.068,0.000,0.000,0.000,0
294,-27.082,-15.568,0.000,0.000,0.000,-0.035,9.710,0.229,-24.489,-11.459,0.000,0.000,0.000,-0.051,10.098,0.000,0.000,0.000,-0.069,0.000,0.000,0.000,0
295,-27.082,-15.568,0.000,0.000,0.000,0.032,9.686,0.229,-24.489,-11.459,0.000,0.000,0.000,0.087,10.050,0.107,0.000,0.000,-0.069,0.000,0.000,0.000,0
296,-27.082,-15.568,0.000,-0.005,0.000,0.030,9.693,0.015,-24.511,-11.459,0.000,0.000,0.000,0.018,10.057,0.107,0.000,0.000,-0.068,0.000,0.000,0.000,0
297,-27.082,-15.568,0.000,0.005,0.000,-0.037,9.691,0.000,-24.489,-11.459,0.000,-0.005,0.000,-0.142,10.114,-0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
298,-27.060,-15.568,0.000,0.000,0.000,-0.056,9.607,0.107,-24.489,-11.459,0.000,0.005,0.000,-0.083,10.114,-0.137,0.000,0.000,-0.066,0.000,0.000,0.000,0
299,-27.060,-15.568,0.000,0.005,0.000,-0.030,9.604,0.290,-24.489,-11.459,0.000,0.000,0.000,0.047,10.079,0.015,0.000,0.000,-0.067,0.000,0.000,0.000,0
300,-27.060,-15.568,0.000,-0.005,0.000,0.000,9.712,0.229,-24.489,-11.459,0.000,-0.016,0.000,-0.011,10.064,0.198,0.000,0.000,-0.066,0.000,0.000,0.000,0
301,-27.060,-15.568,0.000,0.000,0.000,-0.020,9.700,0.107,-24.489,-11.459,0.000,0.027,0.000,-0.092,10.122,0.107,0.000,0.000,-0.067,0.000,0.000,0.000,0
302,-27.060,-15.568,0.000,0.000,0.000,-0.023,9.628,0.015,-24.467,-11.459,0.000,-0.005,0.000,-0.071,10.148,0.015,0.000,0.000,-0.067,0.000,0.000,0.000,0
303,-27.060,-15.568,0.000,-0.005,0.000,0.008,9.638,0.168,-24.467,-11.459,0.000,0.005,0.000,-0.001,10.088,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
304,-27.060,-15.568,0.000,0.005,0.000,0.004,9.691,0.198,-24.467,-11.459,0.000,-0.016,0.000,0.004,10.045,0.000,0.000,0.000,-0.068,0.000,0.000,0.000,0
305,-27.060,-15.568,0.000,0.000,0.000,0.000,9.648,0.198,-24.467,-11.459,0.000,0.000,0.000,-0.075,10.091,0.076,0.000,0.000,-0.067,0.000,0.000,0.000,0
306,-27.060,-15.568,0.000,-0.005,0.000,-0.023,9.676,0.000,-24.445,-11.459,0.000,0.000,0.000,-0.044,10.126,0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
307,-27.060,-15.568,0.000,-0.005,0.000,-0.035,9.717,-0.046,-24.467,-11.459,0.000,0.016,0.000,0.109,10.105,0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
308,-27.060,-15.568,0.000,0.000,0.000,0.040,9.672,0.046,-24.467,-11.459,0.000,0.005,0.000,0.102,10.079,0.168,0.000,0.000,-0.065,0.000,0.000,0.000,0
309,-27.060,-15.568,0.000,0.000,0.000,0.068,9.604,0.198,-24.467,-11.459,0.000,0.000,0.000,-0.030,10.088,0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
310,-27.060,-15.568,0.000,0.005,0.000,-0.083,9.648,0.229,-24.467,-11.459,0.000,-0.005,0.000,-0.059,10.102,-0.137,0.000,0.000,-0.066,0.000,0.000,0.000,0
311,-27.038,-15.568,0.000,0.000,0.000,-0.114,9.734,0.137,-24.467,-11.459,0.000,0.016,0.000,0.016,10.071,-0.046,0.000,0.000,-0.068,0.000,0.000,0.000,0
